deckid,update_date,hero,is_wild,is_standard,code
0,2018-08-13,hunter,True,False,1156
0,2018-08-13,hunter,True,False,946
0,2018-08-13,hunter,True,False,1318
0,2018-08-13,hunter,True,False,549
0,2018-08-13,hunter,True,False,689
0,2018-08-13,hunter,True,False,1287
0,2018-08-13,hunter,True,False,185
0,2018-08-13,hunter,True,False,1427
0,2018-08-13,hunter,True,False,1427
0,2018-08-13,hunter,True,False,926
0,2018-08-13,hunter,True,False,1039
0,2018-08-13,hunter,True,False,1039
0,2018-08-13,hunter,True,False,1743
0,2018-08-13,hunter,True,False,1743
0,2018-08-13,hunter,True,False,784
0,2018-08-13,hunter,True,False,784
0,2018-08-13,hunter,True,False,2186
0,2018-08-13,hunter,True,False,2186
0,2018-08-13,hunter,True,False,871
0,2018-08-13,hunter,True,False,1624
0,2018-08-13,hunter,True,False,1624
0,2018-08-13,hunter,True,False,1604
0,2018-08-13,hunter,True,False,1604
0,2018-08-13,hunter,True,False,1715
0,2018-08-13,hunter,True,False,1715
0,2018-08-13,hunter,True,False,771
0,2018-08-13,hunter,True,False,771
0,2018-08-13,hunter,True,False,2491
0,2018-08-13,hunter,True,False,2491
1,2018-08-13,paladin,True,False,1754
1,2018-08-13,paladin,True,False,1754
1,2018-08-13,paladin,True,False,2351
1,2018-08-13,paladin,True,False,2351
1,2018-08-13,paladin,True,False,2069
1,2018-08-13,paladin,True,False,2107
1,2018-08-13,paladin,True,False,2107
1,2018-08-13,paladin,True,False,606
1,2018-08-13,paladin,True,False,606
1,2018-08-13,paladin,True,False,2371
1,2018-08-13,paladin,True,False,1292
1,2018-08-13,paladin,True,False,1292
1,2018-08-13,paladin,True,False,2582
1,2018-08-13,paladin,True,False,2582
1,2018-08-13,paladin,True,False,2431
1,2018-08-13,paladin,True,False,2431
1,2018-08-13,paladin,True,False,1304
1,2018-08-13,paladin,True,False,1870
1,2018-08-13,paladin,True,False,1870
1,2018-08-13,paladin,True,False,549
1,2018-08-13,paladin,True,False,37
1,2018-08-13,paladin,True,False,1339
1,2018-08-13,paladin,True,False,1339
1,2018-08-13,paladin,True,False,1724
1,2018-08-13,paladin,True,False,1724
1,2018-08-13,paladin,True,False,1644
1,2018-08-13,paladin,True,False,1644
1,2018-08-13,paladin,True,False,1168
1,2018-08-13,paladin,True,False,1168
2,2018-08-14,mage,True,False,481
2,2018-08-14,mage,True,False,2215
2,2018-08-14,mage,True,False,2215
2,2018-08-14,mage,True,False,621
2,2018-08-14,mage,True,False,621
2,2018-08-14,mage,True,False,1714
2,2018-08-14,mage,True,False,657
2,2018-08-14,mage,True,False,353
2,2018-08-14,mage,True,False,276
2,2018-08-14,mage,True,False,1996
2,2018-08-14,mage,True,False,1996
2,2018-08-14,mage,True,False,951
2,2018-08-14,mage,True,False,1433
2,2018-08-14,mage,True,False,1433
2,2018-08-14,mage,True,False,2536
2,2018-08-14,mage,True,False,1715
2,2018-08-14,mage,True,False,1715
2,2018-08-14,mage,True,False,1984
2,2018-08-14,mage,True,False,1984
2,2018-08-14,mage,True,False,2041
2,2018-08-14,mage,True,False,2041
2,2018-08-14,mage,True,False,1658
2,2018-08-14,mage,True,False,1658
2,2018-08-14,mage,True,False,1499
2,2018-08-14,mage,True,False,1499
2,2018-08-14,mage,True,False,1781
2,2018-08-14,mage,True,False,1781
2,2018-08-14,mage,True,False,245
2,2018-08-14,mage,True,False,245
3,2018-08-14,paladin,True,False,1048
3,2018-08-14,paladin,True,False,1740
3,2018-08-14,paladin,True,False,2069
3,2018-08-14,paladin,True,False,2461
3,2018-08-14,paladin,True,False,1504
3,2018-08-14,paladin,True,False,781
3,2018-08-14,paladin,True,False,1510
3,2018-08-14,paladin,True,False,904
3,2018-08-14,paladin,True,False,454
3,2018-08-14,paladin,True,False,1569
3,2018-08-14,paladin,True,False,2520
3,2018-08-14,paladin,True,False,2582
3,2018-08-14,paladin,True,False,1341
3,2018-08-14,paladin,True,False,1979
3,2018-08-14,paladin,True,False,2549
3,2018-08-14,paladin,True,False,692
3,2018-08-14,paladin,True,False,697
3,2018-08-14,paladin,True,False,320
3,2018-08-14,paladin,True,False,1448
3,2018-08-14,paladin,True,False,1743
3,2018-08-14,paladin,True,False,582
